1,2266679,179.5471688,64.56778169,112.6645945,40.20575949,22.3066873,38.70988171,35.8409512,0.601929272,9.357728137,6.611584187,1.198774478,1.690355342,2.477554621,6.931581776,1.054108684,25.32269144,0.691906108,6.673292579,3.045614328,2.460433526,1.129958984,25.6783566,0.679514458,2.252921958,1.448966477,3.438991665,52.00707475,3.95570352,6.399268964,3.727616278,3.646401613,13.57556479,1.383080066,7.317199236,1.383942432,7.618812601,1.138047991,1.935787185,1.324699523,2.418409207,0.424630947,223204,82.1,32073,83.9,62.2,80.5,19546,61.6,233835,78,30132,42,59.3,18.7,15921,12.6,18.5,15.1,2221,20.7,39.6,58.3,23.4,1252,18.7,31.1,49.3,24.6,2590,15.2,46.5,60.5,18.5
2,375495,150.5004703,51.23215848,97.17552305,30.21497966,20.89839825,38.28759575,6.611920537,0.582780235,8.668816215,4.342282756,0.886944024,0.828911957,2.266133917,6.680968899,1.01053908,24.36127469,0.743100872,6.918021437,1.966889634,1.370913888,0.797902789,17.2366284,0.346900968,0.951970771,0.956385692,2.181315769,59.66528272,3.774024493,5.105918563,2.420269514,2.931173559,9.735636056,1.542063261,5.850771298,1.240289197,5.010680411,0.966373119,0.353946976,0.788208654,3.358654193,0.830570454,47063,82.7,7409,85.1,68.1,80.5,4256,63.3,48593,83.1,6424,43.7,58.8,17.9,3354,11.1,18,15.8,483,19.2,42.9,57.8,22.7,275,15.8,36.2,52,22.3,581,14.2,47.5,59,16.7
5,625318,177.7466512,68.7493356,106.4808741,36.52852421,21.64397439,37.21125824,11.53483692,0.7332107,9.0869878,5.586237873,0.821185687,1.056209795,1.671778458,7.475725026,0.272019586,37.38794862,0.502239271,5.785680387,3.326675523,2.414929221,1.079110168,18.41403245,0.670534768,1.983417907,0.993669841,2.704579206,55.52797058,3.283093806,5.877700895,3.731699252,2.851978972,12.95890326,1.799315319,7.39899981,1.260224214,5.936964581,0.89945426,2.216797682,0.672098256,2.392113521,1.1302963,69377,83.5,9885,85.7,62,79.5,6212,64.8,73665,68.7,8382,42.6,61.1,19.9,4541,11.4,16.4,14.6,599,20.9,37.7,55.8,25.4,386,16.2,22.7,41.4,19.2,639,14.4,50.5,60.2,20.1
6,835841,172.8862715,56.42715687,114.4330888,41.17181803,21.64966501,40.16144128,30.06226613,0.788978103,8.745228552,6.764549401,1.2196125,1.719308314,2.144101072,7.141649988,1.082559632,22.1108555,0.368221351,6.515149074,3.313259597,1.89154837,1.330320173,21.83751127,0.663850624,2.570418513,1.041690921,3.730083404,57.20878726,4.166839313,7.504267172,3.304654507,3.656291285,12.47213113,1.500244815,6.813544177,1.73519424,7.552467621,1.494035283,2.004169969,1.299218941,2.34146996,0.492749858,75146,80.9,10515,81.3,61.6,77.2,6793,62.1,78788,72.4,9553,39.7,63.4,18.3,5654,12.5,17.6,15.4,764,21.1,34.2,61.5,24,316,18.9,26,49,23,686,15.9,44.6,68,16.5
7,477536,147.6707937,58.81058171,86.49612276,30.32225231,18.50725938,31.06277831,14.56690878,0.838929731,6.266702758,4.450475696,0.748999002,0.985557649,1.82226395,4.02862852,0.884184989,24.47667274,0.461580823,6.17179837,2.187195767,2.427791184,1.114944723,24.15795074,0.840561047,1.769289047,1.086272843,2.108218817,42.72245007,3.347253072,5.571112674,2.199587479,2.040794922,10.20938273,1.02405464,4.612963916,1.117952121,7.532870703,0.926723942,1.394927794,0.345381602,1.459766536,0.465468635,42176,83.3,6029,82.7,68,79.3,3700,64.5,44408,74.5,5799,48.7,63.8,19.2,2819,10.6,16.5,14.6,422,24.1,47.1,64.9,28.1,226,15.4,37.3,52.2,17.6,358,15.9,56.3,68.4,19.6
9,268546,173.5739894,66.64851424,104.6231854,34.01801649,19.88185498,33.98500503,23.84445766,1.455998897,7.410997122,3.833409687,1.013648075,0.967073618,2.442636469,5.497728538,0.508361386,35.34842298,0.789848962,7.549199092,3.558846291,1.932864785,0.531860143,22.51422634,1.135910315,1.415931588,0.998025933,3.316696332,44.14960883,2.952118748,4.975410957,3.43238812,2.693328943,8.416227098,1.587373543,14.11891999,1.301691089,7.064843024,0.886936788,2.369456645,0.899664304,2.450763555,0.104178538,28155,82,4261,83.9,65.2,84,2409,66.1,29121,88.3,4107,39.8,54.8,18.1,1908,13.4,21.2,14.1,279,17.4,42.8,55.9,20.9,116,0,33.2,48.9,24.4,352,16.6,47.3,56.4,21.2
10,710231,251.0357234,100.9073478,147.1043214,49.14066084,28.5420444,52.21399281,12.8735559,1.004440246,15.29984284,6.169923891,0.960284002,1.749587809,2.30599957,16.47484677,0.896817245,64.77288904,0.759074857,11.08232247,2.502226089,2.998059554,0.522165261,23.4747985,0.892697004,0.794002472,1.806285302,2.955073131,60.94820574,4.736606401,10.76985716,4.329294189,3.419685233,12.27639173,1.348959946,12.68739391,1.091277624,8.025396278,1.35187111,2.97878576,0.579022059,3.873764148,0.138325413,49648,70.9,5449,74.5,55.8,66.9,5151,55.3,54928,53.1,4343,33.2,54.8,17,2901,10,15.6,16.1,313,17.7,28.3,54.5,17,216,15.2,20.8,53.2,21.3,469,14,37.3,51.3,13.7
11,1383647,153.7129485,50.42550347,100.9884775,38.6571197,22.93360768,29.74134211,11.15476628,0.957318197,9.882292958,6.374429065,0.628723179,2.136023203,2.290277409,8.99606818,0.892389017,22.38495063,0.578093903,5.440111005,3.089013837,2.172720918,0.647706625,18.87810802,0.33720488,2.280267018,0.742461877,2.778681368,42.65285492,3.081641589,4.656694456,1.914060926,3.212901325,9.247825044,1.655981154,6.481129998,1.19894713,7.765109597,0.763432793,1.474761872,0.603996704,1.737666652,0.722498192,73495,79.6,8875,84,65.2,83.3,7051,65.4,80306,55.1,8195,45.1,68,19.8,5320,13.3,23.6,17.9,508,23,38.8,73.8,28.3,315,19.1,37.5,68.9,27.8,511,15.6,48.9,68.2,21.5
12,3367249,193.5353276,65.66810296,125.5306994,46.79083275,28.98060179,36.2274233,22.11240001,0.707849701,15.66274153,6.729447345,1.281787699,2.377353889,2.875837369,10.58903565,1.085740838,27.93706343,1.351661103,6.920854196,3.141955714,2.466915609,1.193385051,27.39593308,1.223222477,2.034521714,1.098369767,3.922909464,48.14194845,3.48726506,5.748134104,1.999841641,3.241397112,10.77836001,2.396899443,8.451507894,1.81699255,8.772812115,1.479162736,2.47750362,0.890878511,2.295695583,0.510366926,239322,77,26755,77.5,64.6,74.5,23074,62.7,257735,50.7,23197,42.6,65.4,20.5,16416,11.9,22.7,17.1,1370,20.9,40.5,68.3,26.2,1103,17.4,37.6,71.3,26.6,1893,15.5,46.9,65.1,20.2
14,299382,204.5174941,74.27900051,127.8907453,46.81102936,25.77417303,39.41169842,17.82297954,1.152292337,12.48664806,5.007570709,0.779940048,3.558462001,4.889917364,8.990787231,1.239804576,22.21023384,3.059957049,6.057553196,3.715410398,2.168599319,1.054411905,33.35259154,1.126984881,2.759879005,1.297196615,3.523515013,84.47394945,3.964479475,6.372805731,1.86718861,3.244546549,18.46827987,1.369551985,10.62438573,2.231404647,8.684294553,0.784683687,2.342413374,1.25460392,2.229548668,0.723479078,43138,84.5,4165,84.8,73.6,83.6,3528,73.4,45148,51.5,5723,48.1,71.5,19.2,3572,11,27,16.1,281,20.2,46.3,75,22.5,230,18,41.7,75,23.2,317,16.8,57.3,73.2,23.5
