1,313857,6.2,83.0,15.9,0.4,75.7,2.8,6.6
2,57000,6.7,82.7,15.9,0.7,87.5,3.7,9.3
5,84969,5.7,88.2,9.8,0.7,88.1,2.6,5.2
6,114046,5.8,80.0,18.3,0.7,68.9,2.0,5.8
7,58287,5.5,70.7,27.9,0.4,77.1,2.8,7.9
9,32781,5.8,76.0,23.1,0.2,91.0,3.6,9.1
10,56984,2.8,75.6,2.1,2.3,99.0,1.0,14.3
11,147951,5.2,87.6,2.1,7.1,56.1,0.3,5.9
12,391524,5.0,82.2,2.5,10.7,67.2,0.7,9.4
14,84492,17.1,93.7,1.5,3.3,53.5,0.2,3.7
15,181840,7.1,80.2,1.8,15.2,57.9,0.5,8.3
16,53694,6.3,90.6,1.6,1.0,78.9,3.8,12.3
18,33891,6.5,97.3,1.7,0.4,86.2,4.6,13.0
19,227671,6.5,87.3,11.2,0.6,86.6,3.7,9.9
21,65715,5.3,95.3,0.3,1.9,76.7,3.2,8.0
22,37749,6.6,82.3,14.7,0.8,86.7,4.1,11.5
23,377857,5.1,67.3,1.3,13.4,52.4,1.0,16.8
25,102141,3.9,67.0,2.8,25.6,68.6,2.0,22.0
31,46593,7.4,91.3,0.7,5.2,97.3,2.2,13.3
33,127748,5.6,75.2,4.9,9.4,52.5,1.0,9.3
43,118936,4.6,63.8,3.5,26.5,70.8,1.9,21.1
56,1011029,5.0,48.1,9.5,25.4,54.0,1.8,26.1
58,99190,5.0,73.7,2.2,19.2,70.2,1.9,18.2
62,44064,7.4,88.7,1.0,6.8,80.2,2.1,12.6
65,165729,5.2,53.4,12.6,11.2,52.3,1.5,17.8
69,68421,10.8,87.6,1.8,8.0,59.0,0.7,8.6
73,55416,7.0,92.7,0.6,2.9,93.7,1.8,11.5
77,321436,5.8,79.0,4.2,8.5,58.4,1.2,11.6
78,42681,5.2,65.0,2.8,22.9,98.6,1.8,15.8
79,290983,4.2,63.1,7.5,23.2,40.6,1.2,16.6
80,409881,5.3,68.4,3.2,19.9,55.2,1.2,14.5
81,189923,6.5,54.0,8.4,9.4,56.0,1.5,22.3
82,187957,4.9,57.0,2.0,15.2,60.3,1.3,19.6
83,38155,7.4,90.5,0.6,6.0,89.1,1.4,6.8
85,106087,6.6,65.0,3.0,12.0,56.4,0.8,12.0
86,57055,6.5,78.0,1.6,16.0,83.7,1.5,10.4
87,31251,5.0,80.0,0.7,14.9,91.7,1.7,12.5
89,70418,6.6,88.6,0.9,6.5,59.0,1.2,9.3
91,59696,4.6,62.3,6.5,20.0,66.3,1.9,17.2
96,103616,5.5,73.4,1.5,18.1,69.2,1.3,11.7
101,33258,4.3,92.1,0.6,4.7,62.4,1.4,4.1
102,97422,5.0,85.9,2.7,9.1,74.2,2.0,6.1
103,297411,4.5,84.8,3.8,8.5,54.1,1.6,5.5
104,38778,5.0,92.7,0.6,4.9,84.4,2.5,4.3
105,46248,5.9,94.0,0.2,4.5,70.5,1.9,6.1
106,45073,5.6,90.6,0.2,7.9,76.3,2.9,6.4
107,26435,7.6,73.4,1.2,24.4,67.8,2.1,8.3
109,89665,6.9,81.5,8.7,6.3,75.6,2.8,8.5
110,213411,7.0,88.8,5.1,3.7,76.4,4.0,9.2
111,209161,7.0,89.1,4.9,3.6,76.1,3.8,8.4
112,100980,5.7,80.3,14.8,2.0,93.3,2.8,5.4
113,304910,5.2,64.6,27.8,2.4,90.4,2.4,8.0
115,63195,10.9,92.0,3.6,2.8,70.2,1.8,4.2
116,101093,11.9,93.0,2.2,2.9,56.8,2.1,5.7
118,465990,10.0,80.8,9.2,7.7,61.6,1.5,6.3
119,246056,11.1,90.4,3.2,4.9,75.5,1.3,4.0
120,79105,6.1,86.5,9.6,2.3,84.8,2.7,8.0
122,94460,12.2,92.5,1.7,4.3,52.1,1.4,4.7
123,204358,5.2,81.2,13.7,2.6,78.6,2.7,7.1
124,56529,7.0,85.1,8.0,5.2,58.0,1.9,7.5
127,424426,6.5,29.8,11.6,56.3,42.2,1.4,25.1
129,154670,13.1,91.7,3.7,3.1,70.3,1.3,3.4
130,551033,7.3,79.8,7.8,9.7,67.3,2.0,6.6
131,88051,11.3,89.6,5.9,2.8,60.8,1.7,4.5
133,32068,6.4,90.8,6.4,1.2,87.9,3.4,7.7
134,113796,6.3,87.6,8.8,1.4,82.8,2.5,5.8
137,106722,16.2,94.8,2.0,1.9,81.1,1.7,3.1
139,70664,9.4,85.1,8.8,3.2,58.6,2.5,8.4
140,97926,5.1,77.1,20.8,1.0,69.8,3.1,9.5
141,168926,5.6,74.3,8.5,14.3,56.4,1.7,9.3
142,25745,5.3,63.8,34.8,0.4,76.3,3.0,10.8
144,620180,3.9,77.1,18.3,1.9,72.0,1.9,5.8
145,86484,5.5,70.9,26.5,0.9,75.1,2.6,9.1
146,39408,5.3,66.5,30.8,1.3,76.8,2.8,7.6
147,91201,5.5,72.4,25.9,0.6,73.5,3.0,9.5
148,39891,5.7,92.0,6.3,0.9,77.9,2.8,7.3
149,108979,5.3,78.2,19.6,0.9,78.2,2.4,7.0
150,192355,7.0,26.1,0.6,6.2,52.1,0.9,11.1
151,110806,5.2,94.0,0.2,3.6,62.7,1.2,5.9
152,24372,4.5,95.0,0.1,2.7,76.4,1.1,5.0
154,28085,3.4,82.6,4.8,10.2,84.2,2.8,9.1
155,114772,6.5,71.6,21.8,4.8,88.2,2.7,8.2
156,239880,4.7,41.4,38.7,14.5,83.8,2.9,19.5
158,82780,4.1,88.7,1.3,5.2,93.5,2.7,6.5
161,141113,8.1,88.0,2.0,2.9,94.2,3.0,6.6
163,54870,4.8,84.8,3.3,3.5,92.7,2.8,5.8
164,77799,4.8,88.6,5.4,4.5,94.1,3.0,7.0
166,155004,5.5,81.4,6.3,8.3,89.9,2.6,8.0
170,96992,7.9,95.4,2.6,1.0,82.7,4.0,7.5
171,103894,6.7,93.3,2.9,2.5,83.5,3.7,7.6
172,131219,8.0,96.3,2.6,0.3,94.3,4.7,9.0
173,60839,6.6,94.4,3.6,0.6,80.8,4.1,8.4
175,22995,5.4,95.8,2.1,0.8,84.9,4.5,7.4
